Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes
2013-04-05 02:48:34;2013-04-05 07:54:46;53%;5:06;:|;
2013-04-05 23:39:50;2013-04-06 08:00:33;75%;8:20;:);
2013-04-08 01:36:11;2013-04-08 07:58:33;64%;6:22;:);
2013-04-09 00:13:19;2013-04-09 06:57:23;63%;6:44;:);
2013-04-10 04:45:51;2013-04-10 08:29:02;39%;3:43;:(;
2013-04-11 01:48:56;2013-04-11 06:59:58;63%;5:11;:|;
2013-04-12 01:48:59;2013-04-12 07:56:01;64%;6:07;:|;
2013-04-13 01:35:38;2013-04-13 09:01:29;86%;7:25;:);
2013-04-14 01:31:22;2013-04-14 08:21:47;83%;6:50;:);
2013-04-15 01:26:51;2013-04-15 08:01:02;51%;6:34;:);
2013-04-16 00:17:48;2013-04-16 06:34:51;69%;6:17;:);
2013-04-16 21:24:34;2013-04-16 22:45:00;14%;1:20;:|;
2013-04-16 22:45:12;2013-04-17 06:00:02;79%;7:14;:);
2013-04-18 03:15:40;2013-04-18 08:36:30;42%;5:20;:);
2013-04-19 00:48:13;2013-04-19 08:14:47;78%;7:26;:|;
2013-04-20 02:47:42;2013-04-20 09:04:06;64%;6:16;:);
2013-04-22 02:55:55;2013-04-22 07:44:27;55%;4:48;:);
2013-04-23 01:17:42;2013-04-23 07:57:25;60%;6:39;:);
